,lemmatized_text
2965,people ask leave house world scary fuck shooting explosion everywhere 
2966,oh sad catch today x 
2967,pity party 
2968,haaretz israel syria continue develop chemical weapon official tell wsj wsj rep uniteblue tcot 
2969,sorry 
2970,follow 
2971,make sure u rubber duck proper bath without u quacketyquack 
2972,follow thanks please follow 
2973,get ready work like min 
2974,hand hurt get sick movement lmao 
2975,genuinely keep nightmare result day fam 
2976,dont come italy 
2977,hope djderek found safe amp well many fun time gig absolute legend 
2978,visit blog thanks 
2979,great video 
2980,seouljins fine tbh 
2981,thank follow certainly look 
2982,miss baby onemochaonelove 
2983,goodnight guy 
2984,parent proud lol least maybe sometimes get happy grade al 
2985,take hour 
2986,nice use non mapbox map still restrict use mapbox basemaps contractually speak 
2987,buset 
2988,short routine quest borderland wanderrook 
2989,watch 
2990,hay 
2991,want say huge thanks ff thanks support 
2992,nighty night let bed bug bite 
2993,see get eyebrow do prettylooks wan na try different style 
2994,go pick earlier w richard forget go gay club 
2995,nowhere near tire 
2996,last concert go stadium tomorrow show justin 
2997,aaron say shit ago say worth take bang well jelouse 
2998,collection retweet 
2999,caaaannntttt 
3000,awesome 
3001,allow cheat meal 
3002,pretty 
3003,fuck bad link work watch match 
3004,decide stop support others find answer pledge get paid support pay back sorry 
3005,dearslim play role billy hope would like play role another character 
3006,block twitter 
3007,listen calm meditation pandora always put sleep 
3008,take ice creamist pleaseeeee 
3009,yesterday groupie bebe amp sizams 
3010,yum 
3011,get party shoe ready day go till next keep calm jump party special party ticket 
3012,morning miss 
3013,aaaaaaaaaaaah sound kanye make hey mama cute 
3014,hi bam follow bestfriend horan love lot see warsaw lt love lt x 
3015,bale 
3016,benson gorgeous thank much share u also enter facebook 
3017,lucky 
3018,wake nice weather koyal melodiesan unexpected surprise create memory freshness make day maxfreshmove 
3019,fat co probably ate yuna 
3020,feel bad helmy 
3021,jacob amp g upgrade 
3022,someone take see inside please 
3023,mean wipe 
3024,ugh yuck make sure rest next two day 
3025,glad hear back see anything else crop let u know ba 
3026,think would like answer question 
3027,sorka 
3028,prelim exam tomorrow costacc 
3029,dude arent u answer msg 
3030,hey thank follow 
3031,murf thats way see west ham shit small club london villa rd big brum 
3032,work 
3033,hello get youth job opportunity follow gt gt 
3034,xx 
3035,thanks share enjoy app wish wicked weekend 
3036,get mine saturday 
3037,also want 
3038,work late tonight well x 
3039,oh beauty world water 
3040,best perfect promise love whole heart 
3041,beer lovely 
3042,time sleep 
3043,green one ugly others awesome tho 
3044,break heart cause hard 
3045,big thx kind support good luck 
3046,go indian politics every one blame year still represent school life 
3047,missyou bishes 
3048,awwww miss 
3049,miss brown hair 
3050,end would leave work therefore miss 
3051,dylan pls 
3052,zayniscomingbackonjuly 
3053,stats day arrive new follower unfollowers via 
3054,say hi 
3055,kick bae 
3056,vandag long as month kgola neng eintlik 
3057,stats day arrive new follower unfollowers via 
3058,add 
3059,u follow back huehue 
3060,hi skye sorry hear dm store please name description colleague please 
3061,gon na okay love 
3062,bad pain 
3063,hello get youth job opportunity follow gt gt 
3064,love store best chocolate selection 
3065,hahaha u serious himmat karain aur moo pay baat karain u believe meri debate abu k cousin k sath hotee uncle 
3066,bad mental block half remember song melody head n leave recall whole either 
3067,soon tweet plant claw thigh traction zoom away 
3068,get stung wasp im cry hard tweak keep get big ive never stung one hope im allergic 
3069,flipkartfashionfriday give dear worry 
3070,anxious shake dad like calm well apparently right 
3071,unfortunately sorry say thrill hear love sound product amp smell amaze 
3072,followfriday green top new follower community week 
3073,direct attention awesome 
3074,hi happys 
3075,ryan go em con swore saw something say next year sorry im wrong 
3076,break habit lifetime play call duty game 
3077,girl come like beautiful want dieididieieiei cute 
3078,burnout johnforceo ceomonth 
3079,hp curse child book play 
3080,team hop find beatport collection via spotify soon 
3081,watch sinister go bed wow scar af 
3082,experiment gastronomy newblogpost foodiefridaysfoodie friday yoghurt pancake 
3083,omg really sorry babe 
3084,feel let thought favourite favourite 
3085,ate menille need youuuu 
3086,phl abu dhabi love blessing hihihi teamjanuaryclaims godonna 
3087,way get bandana 
3088,far would go win camara know bride wore coverall romance inspy 
3089,like video sub plz 
3090,know 
3091,someone harry potter marathon 
3092,sad reason suck u dunno stop sad u get ta chill ur room listen music amp b alone 
3093,add video playlist im back twitch today go league 
3094,sleep 
3095,befit people anything postive say keep opinion look good strong always 
3096,come 
3097,hey bud christy really sick leave home xo thanks man 
3098,
3099,follow 
3100,stream awful lately choppy terrible point stay wait yt video anyway 
3101,try support uk citizen sign 
3102,love blue flipkartfashionfriday 
3103,happiness responsibilty ask others make happy fb 
3104,corbyn must understand labour new member change party fortune yet another rant woman 
3105,damn give back 
3106,happen 
3107,miss hate pll 
3108,retweeted 
3109,effect spanish 
3110,twitter meni tebrik etdi congratulation follower 
3111,goodnight 
3112,one day wish 
3113,nice pic 
3114,go home amp come back sunway college petaling jaya selangor 
3115,even know kg smh 
3116,sigh 
3117,r u talk still 
3118,monday wednesday g na girl 
3119,yep 
3120,whatever stil l young gt 
3121,want pretzel bb bblf 
3122,yes could link yt u use 
3123,mention south africa many time song time come south africa 
3124,soooo pretty 
3125,know happen 
3126,nice big fan line mr j smile 
3127,heiyo visit website free coin ball pool thanks 
3128,gon na laugh shake head life fill lot amusement lol 
3129,en mi manos hold hand 
3130,thank 
3131,feel like ytd 
3132,mean go tweet anything whole week 
3133,finish bill ted excellent adventure onto bogus journey 
3134,school monday wan na meet new people 
3135,hate get text look shift everyone wake 
3136,really like demi new song video 
3137,stargate atlantis cool show 
3138,win bob 
3139,im get sick tire pipol say im short short tiny 
3140,thank glad enjoy 
3141,nooo broke soo amaze togheter 
3142,ff new member 
3143,carpe diem mr nath 
3144,boughy ex kernel manager love old version new one even well 
3145,aztec princess 
3146,bea miller lockscreenrt fav want itmbf dm keesh 
3147,hug hope rest soon 
3148,good stuff love bit salmon 
3149,ign ign au pubcast hero deserve tengaman tuesday july celebratio letsprocrastinate 
3150,megan fell asleep already 
3151,follow ya 
3152,left 
3153,thank really appreciate take time watch video 
3154,thing note awesome 
3155,birthday today promotional cake swear walk nail 
3156,hi baby love 
3157,eric amp make still tell love fake as 
3158,ion wan na hear 
3159,think write 
3160,gm meet precious soft lady real friend mizz precious many like 
3161,review phew literally overwhelmed 
3162,hey guy know request product team already consider 
3163,sorry block 
3164,congrats 
3165,wrong 
3166,love much believe follow please follow please justin x 
3167,wrong turn amaze movie bro 
3168,hahahahaha law make happen would heartbeat 
3169,morning friday happy friday beautiful people smile 
3170,eye men speak word tongue pronounce native american proverb 
3171,feel well bby 
3172,even deliver ice cream try twice ice cream van busy 
3173,even watch syncs plug dj 
3174,hi bam follow bestfriend horan love lot see warsaw lt love lt x 
3175,bad kind want iphone account say upgrade april far cont 
3176,english weather need fix 
3177,exactly mauliate ito 
3178,soon promise 
3179,add snapchat corinehurleigh snapchat snapchatme instagram addmeonsnapchat sfs quote kiksexting 
3180,thanks someone maybe look case fast totally fuck mad expensive 
3181,find someone well 
3182,thank set another great day support community amp help resident servicewithasmile 
3183,mymonsoonstory tea tree skin clearing lotion moisturize skin important monsoon 
3184,add snapchat entlerbountly snapchat snapchat tinder dirtykik followback countrymusic sexcam 
3185,kill 
3186,dang rad fanart 
3187,chek rule join chek weebly 
3188,lucky 
3189,yeah play pretty girl bus stop x 
3190,view picture unhappy seat bus 
3191,yes hun good 
3192,miss 
3193,yes jack fuck thanks 
3194,hope rest night go quickly bed get music fix time dream 
3195,look fun kik thencerest kik kiksexting sex followback indiemusic kikgirl 
3196,duh emesh p 
3197,username change 
3198,belated happy bday sauce 
3199,first try result 
3200,people unfaved rted 
3201,today happy day 
3202,gim enjoy meal baby 
3203,good know 
3204,smart 
3205,want go back apb college 
3206,bad 
3207,zayn come back july srsly guy many time say 
3208,sorna 
3209,great go kardamena last summer amaze beach wonderful sea year time go samos greece 
3210,tweet much appreciate thank dedicate member 
3211,sonic start goodmorning videogames 
3212,turn handle critique mind 
3213,ok good night wish troye ugly met today ok today fun excite tmrw 
3214,headrest loose reason pit 
3215,want back 
3216,nuf tease already show u alien everyday seem get closer see alien cousin 
3217,unavailable 
3218,oh yeah milo aurini juicebro fuck pillar respective community 
3219,im sooo hungry though 
3220,awesome thanks much help 
3221,see ur bio u break heart actually 
3222,u wake suite life zach cody 
3223,
3224,miss 
3225,happen stop talk 
3226,hah ddon say sorry 
3227,wohoo colour perfect wsalelove 
3228,deleicious food follow sound hr sleep never get time 
3229,forever food home amp food school even nice 
3230,zamn line afropunk fest brooklyn 
3231,bakit facebook 
3232,day 
3233,see log game morning always remember trip bbb 
3234,nothing bore sleep wbu 
3235,thanks follow back 
3236,rettweet 
3237,cute 
3238,leave alone 
3239,true doubt zayniscomingbackonjuly 
3240,please put life hand rock n roll band throw away oh irony 
3241,rain need go away 
3242,let go party pant ew gross 
3243,dare 
3244,
3245,pleasure always 
3246,look forward review 
3247,feel 
3248,openfollow rp speak eng retweet 
3249,aditya mommy miss u sooo much 
3250,sit hour still doctor sit hospital doctor 
3251,thank 
3252,monday 
3253,ooh reading new humanist sound interest see happy reader magazine 
3254,hope feel well 
3255,c change day good 
3256,tykksin videosta sub special e paysafecard giveaway lue desc 
3257,oops see panty 
3258,happy friday 
3259,thts depress 
3260,bro choose takraw 
3261,loool oi bengali general insecure work 
3262,dont know 
3263,smile make smile 
3264,join hushedpinwithsammy event might get text day luv u 
3265,new phone today cool 
3266,look like lot fun hope many good takeaway today 
3267,shall shall shout roof top social medium p 
3268,headache 
3269,ohh sad 
